UBS_LON,UBS_LAT,UF,CITY,CITY_LON,CITY_LAT,POPULATION_2021,PIB_2019
-38.46495,-12.96639,BA,Salvador,-38.51,-12.97,2900319,63804120.227
-38.51521,-13.00051,BA,Salvador,-38.51,-12.97,2900319,63804120.227
-38.41056,-12.8925,BA,Salvador,-38.51,-12.97,2900319,63804120.227
-38.511,-12.971,BA,Salvador,-38.51,-12.97,2900319,63804120.227
-38.43297,-12.97907,BA,Salvador,-38.51,-12.97,2900319,63804120.227
-38.38081,-12.93477,BA,Salvador,-38.51,-12.97,2900319,63804120.227
-47.287,-23.201,SP,Salto,-47.28,-23.2,120779,7737783.779
-38.35991,-12.93613,BA,Salvador,-38.51,-12.97,2900319,63804120.227
-46.79795,-23.56116,SP,Osasco,-46.79,-23.53,701428,81923606.463
-38.50862,-12.99057,BA,Salvador,-38.51,-12.97,2900319,63804120.227
-38.511,-12.971,BA,Salvador,-38.51,-12.97,2900319,63804120.227
-38.44786,-12.96046,BA,Salvador,-38.51,-12.97,2900319,63804120.227
-38.46769,-12.97395,BA,Salvador,-38.51,-12.97,2900319,63804120.227
-38.41644,-12.96857,BA,Salvador,-38.51,-12.97,2900319,63804120.227
-38.42552,-12.89705,BA,Salvador,-38.51,-12.97,2900319,63804120.227
-38.3736,-12.93789,BA,Salvador,-38.51,-12.97,2900319,63804120.227
-38.43941,-12.95115,BA,Salvador,-38.51,-12.97,2900319,63804120.227
-38.30023,-12.53426,BA,Salvador,-38.51,-12.97,2900319,63804120.227
-38.47384,-12.94862,BA,Salvador,-38.51,-12.97,2900319,63804120.227
-38.4706,-12.91518,BA,Salvador,-38.51,-12.97,2900319,63804120.227
-38.48566,-12.93778,BA,Salvador,-38.51,-12.97,2900319,63804120.227
-38.5016,-13.00186,BA,Salvador,-38.51,-12.97,2900319,63804120.227
-38.48848,-12.93273,BA,Salvador,-38.51,-12.97,2900319,63804120.227
-38.51379,-13.00113,BA,Salvador,-38.51,-12.97,2900319,63804120.227
-38.45716,-12.94347,BA,Salvador,-38.51,-12.97,2900319,63804120.227
-38.46618,-12.93116,BA,Salvador,-38.51,-12.97,2900319,63804120.227
-38.48234,-12.92291,BA,Salvador,-38.51,-12.97,2900319,63804120.227
-38.48544,-12.9383,BA,Salvador,-38.51,-12.97,2900319,63804120.227
-38.48868,-12.98076,BA,Salvador,-38.51,-12.97,2900319,63804120.227
-38.46044,-12.95,BA,Salvador,-38.51,-12.97,2900319,63804120.227
-38.43112,-12.88626,BA,Salvador,-38.51,-12.97,2900319,63804120.227
-34.92863,-8.05296,PE,Recife,-34.88,-8.05,1661017,54691223.455
-47.92447,-1.29505,PA,Castanhal,-47.92,-1.29,205667,4040634.536
-37.09019,-10.97035,SE,Aracaju,-37.07,-10.91,672614,17534512.574
-47.922,-1.297,PA,Castanhal,-47.92,-1.29,205667,4040634.536
-47.7381,-1.36414,PA,Castanhal,-47.92,-1.29,205667,4040634.536
-48.02546,-1.20024,PA,Castanhal,-47.92,-1.29,205667,4040634.536
-47.922,-1.297,PA,Castanhal,-47.92,-1.29,205667,4040634.536
-47.922,-1.297,PA,Castanhal,-47.92,-1.29,205667,4040634.536
-47.93903,-1.31027,PA,Castanhal,-47.92,-1.29,205667,4040634.536
-47.91216,-1.28899,PA,Castanhal,-47.92,-1.29,205667,4040634.536
-47.922,-1.297,PA,Castanhal,-47.92,-1.29,205667,4040634.536
-47.98777,-1.2995,PA,Castanhal,-47.92,-1.29,205667,4040634.536
-47.91315,-1.26988,PA,Castanhal,-47.92,-1.29,205667,4040634.536
-47.87308,-1.22955,PA,Castanhal,-47.92,-1.29,205667,4040634.536
-47.922,-1.297,PA,Castanhal,-47.92,-1.29,205667,4040634.536
-46.76427,-23.51367,SP,Osasco,-46.79,-23.53,701428,81923606.463
-46.79206,-23.5331,SP,Osasco,-46.79,-23.53,701428,81923606.463
-46.792,-23.533,SP,Osasco,-46.79,-23.53,701428,81923606.463
-46.84448,-23.53869,SP,Osasco,-46.79,-23.53,701428,81923606.463
-46.79405,-23.53695,SP,Osasco,-46.79,-23.53,701428,81923606.463
-46.80686,-23.53188,SP,Osasco,-46.79,-23.53,701428,81923606.463
-46.77961,-23.55234,SP,Osasco,-46.79,-23.53,701428,81923606.463
-46.79453,-23.51845,SP,Osasco,-46.79,-23.53,701428,81923606.463
-46.79174,-23.53305,SP,Osasco,-46.79,-23.53,701428,81923606.463
-46.81105,-23.55767,SP,Osasco,-46.79,-23.53,701428,81923606.463
-46.80385,-23.53583,SP,Osasco,-46.79,-23.53,701428,81923606.463
-46.7668,-23.5073,SP,Osasco,-46.79,-23.53,701428,81923606.463
-46.79167,-23.49213,SP,Osasco,-46.79,-23.53,701428,81923606.463
-46.4521,-23.318,SP,Osasco,-46.79,-23.53,701428,81923606.463
-46.79596,-23.52893,SP,Osasco,-46.79,-23.53,701428,81923606.463
-46.76646,-23.52777,SP,Osasco,-46.79,-23.53,701428,81923606.463
-46.17848,-17.74228,MG,João Pinheiro,-46.17,-17.74,47990,1519226.933
-46.79223,-23.53305,SP,Osasco,-46.79,-23.53,701428,81923606.463
-46.79199,-23.53297,SP,Osasco,-46.79,-23.53,701428,81923606.463
-46.78573,-23.49731,SP,Osasco,-46.79,-23.53,701428,81923606.463
-46.76346,-23.54493,SP,Osasco,-46.79,-23.53,701428,81923606.463
-46.78318,-23.4797,SP,Osasco,-46.79,-23.53,701428,81923606.463
-46.80317,-23.58021,SP,Osasco,-46.79,-23.53,701428,81923606.463
-46.538,-23.664,SP,Santo André,-46.53,-23.66,2496,25972.669
-46.52022,-23.69219,SP,Santo André,-46.53,-23.66,2496,25972.669
-46.5155,-23.62524,SP,Santo André,-46.53,-23.66,2496,25972.669
-46.54795,-23.64389,SP,Santo André,-46.53,-23.66,2496,25972.669
-46.51872,-23.63897,SP,Santo André,-46.53,-23.66,2496,25972.669
-46.50953,-23.64631,SP,Santo André,-46.53,-23.66,2496,25972.669
-46.49102,-23.62982,SP,Santo André,-46.53,-23.66,2496,25972.669
-46.52403,-23.6583,SP,Santo André,-46.53,-23.66,2496,25972.669
-45.887,-23.179,SP,São José dos Campos,-45.88,-23.17,737310,43457370.44
-45.887,-23.179,SP,São José dos Campos,-45.88,-23.17,737310,43457370.44
-45.887,-23.179,SP,São José dos Campos,-45.88,-23.17,737310,43457370.44
-45.887,-23.179,SP,São José dos Campos,-45.88,-23.17,737310,43457370.44
-45.887,-23.179,SP,São José dos Campos,-45.88,-23.17,737310,43457370.44
-34.89315,-8.06268,PE,Recife,-34.88,-8.05,1661017,54691223.455
-45.88548,-23.2112,SP,São José dos Campos,-45.88,-23.17,737310,43457370.44
-45.887,-23.179,SP,São José dos Campos,-45.88,-23.17,737310,43457370.44
-45.81389,-23.16943,SP,São José dos Campos,-45.88,-23.17,737310,43457370.44
-45.887,-23.179,SP,São José dos Campos,-45.88,-23.17,737310,43457370.44
-45.887,-23.179,SP,São José dos Campos,-45.88,-23.17,737310,43457370.44
-45.887,-23.179,SP,São José dos Campos,-45.88,-23.17,737310,43457370.44
-45.887,-23.179,SP,São José dos Campos,-45.88,-23.17,737310,43457370.44
-45.887,-23.179,SP,São José dos Campos,-45.88,-23.17,737310,43457370.44
-34.91732,-7.97964,PE,Recife,-34.88,-8.05,1661017,54691223.455
-54.56931,-20.42457,MS,Campo Grande,-54.64,-20.44,9686,98243.386
-54.60501,-20.49047,MS,Campo Grande,-54.64,-20.44,9686,98243.386
-54.67119,-20.49071,MS,Campo Grande,-54.64,-20.44,9686,98243.386
-54.70452,-20.45282,MS,Campo Grande,-54.64,-20.44,9686,98243.386
-54.64448,-20.45192,MS,Campo Grande,-54.64,-20.44,9686,98243.386
-54.68441,-20.45873,MS,Campo Grande,-54.64,-20.44,9686,98243.386
-54.66122,-20.49342,MS,Campo Grande,-54.64,-20.44,9686,98243.386
-54.61629,-20.46402,MS,Campo Grande,-54.64,-20.44,9686,98243.386
-54.63155,-20.41635,MS,Campo Grande,-54.64,-20.44,9686,98243.386
-51.488,-20.872,SP,Castilho,-51.48,-20.87,21521,699167.921
-54.62004,-20.53564,MS,Campo Grande,-54.64,-20.44,9686,98243.386
-54.66126,-20.41743,MS,Campo Grande,-54.64,-20.44,9686,98243.386
-54.62371,-20.49506,MS,Campo Grande,-54.64,-20.44,9686,98243.386
-54.58871,-20.55083,MS,Campo Grande,-54.64,-20.44,9686,98243.386
-54.59613,-20.41771,MS,Campo Grande,-54.64,-20.44,9686,98243.386
-54.55935,-20.38455,MS,Campo Grande,-54.64,-20.44,9686,98243.386
-54.60255,-20.52701,MS,Campo Grande,-54.64,-20.44,9686,98243.386
-54.60938,-20.51518,MS,Campo Grande,-54.64,-20.44,9686,98243.386
-54.60427,-20.54298,MS,Campo Grande,-54.64,-20.44,9686,98243.386
-54.58205,-20.43444,MS,Campo Grande,-54.64,-20.44,9686,98243.386
-47.77991,-15.76913,DF,Brasília,-47.93,-15.77,3094325,273613711.477
-48.07976,-15.86213,DF,Brasília,-47.93,-15.77,3094325,273613711.477
-47.6454,-15.61241,DF,Brasília,-47.93,-15.77,3094325,273613711.477
-47.93,-15.78,DF,Brasília,-47.93,-15.77,3094325,273613711.477
-48.06898,-15.87891,DF,Brasília,-47.93,-15.77,3094325,273613711.477
-47.92406,-15.82567,DF,Brasília,-47.93,-15.77,3094325,273613711.477
-47.89265,-15.77287,DF,Brasília,-47.93,-15.77,3094325,273613711.477
-47.89151,-15.74291,DF,Brasília,-47.93,-15.77,3094325,273613711.477
-47.94317,-15.79902,DF,Brasília,-47.93,-15.77,3094325,273613711.477
-47.93589,-15.78349,DF,Brasília,-47.93,-15.77,3094325,273613711.477
-48.10977,-15.87555,DF,Brasília,-47.93,-15.77,3094325,273613711.477
-47.77262,-15.90244,DF,Brasília,-47.93,-15.77,3094325,273613711.477
-47.8543,-15.84641,DF,Brasília,-47.93,-15.77,3094325,273613711.477
-48.08476,-16.02068,DF,Brasília,-47.93,-15.77,3094325,273613711.477
-47.93401,-15.77406,DF,Brasília,-47.93,-15.77,3094325,273613711.477
-48.09684,-15.80773,DF,Brasília,-47.93,-15.77,3094325,273613711.477
-48.12057,-15.8078,DF,Brasília,-47.93,-15.77,3094325,273613711.477
-48.09669,-15.83099,DF,Brasília,-47.93,-15.77,3094325,273613711.477
-48.10505,-15.83561,DF,Brasília,-47.93,-15.77,3094325,273613711.477
-48.10995,-15.80567,DF,Brasília,-47.93,-15.77,3094325,273613711.477
-48.11432,-15.84015,DF,Brasília,-47.93,-15.77,3094325,273613711.477
-48.13102,-15.79562,DF,Brasília,-47.93,-15.77,3094325,273613711.477
-48.12992,-15.80697,DF,Brasília,-47.93,-15.77,3094325,273613711.477
-48.12352,-15.84677,DF,Brasília,-47.93,-15.77,3094325,273613711.477
-48.13342,-15.79828,DF,Brasília,-47.93,-15.77,3094325,273613711.477
-47.70063,-15.53853,DF,Brasília,-47.93,-15.77,3094325,273613711.477
-47.98649,-15.81823,DF,Brasília,-47.93,-15.77,3094325,273613711.477
-47.96551,-15.87052,DF,Brasília,-47.93,-15.77,3094325,273613711.477
-48.06622,-15.89893,DF,Brasília,-47.93,-15.77,3094325,273613711.477
-47.90929,-15.83281,DF,Brasília,-47.93,-15.77,3094325,273613711.477
-48.02426,-15.88089,DF,Brasília,-47.93,-15.77,3094325,273613711.477
-47.87387,-15.72587,DF,Brasília,-47.93,-15.77,3094325,273613711.477
-47.92992,-15.78,DF,Brasília,-47.93,-15.77,3094325,273613711.477
-48.11342,-15.8245,DF,Brasília,-47.93,-15.77,3094325,273613711.477
-48.19502,-15.67722,DF,Brasília,-47.93,-15.77,3094325,273613711.477
-47.86035,-15.55097,DF,Brasília,-47.93,-15.77,3094325,273613711.477
-47.97347,-15.83288,DF,Brasília,-47.93,-15.77,3094325,273613711.477
-47.97,-15.84917,DF,Brasília,-47.93,-15.77,3094325,273613711.477
-45.90462,-23.14942,SP,São José dos Campos,-45.88,-23.17,737310,43457370.44
-47.84828,-15.79482,DF,Brasília,-47.93,-15.77,3094325,273613711.477
-47.80924,-15.99574,DF,Brasília,-47.93,-15.77,3094325,273613711.477
-48.16888,-15.53875,DF,Brasília,-47.93,-15.77,3094325,273613711.477
-48.16964,-15.74247,DF,Brasília,-47.93,-15.77,3094325,273613711.477
-48.51217,-15.57408,DF,Brasília,-47.93,-15.77,3094325,273613711.477
-47.75713,-15.65055,DF,Brasília,-47.93,-15.77,3094325,273613711.477
-47.6627,-15.74667,DF,Brasília,-47.93,-15.77,3094325,273613711.477
-47.5711,-15.82038,DF,Brasília,-47.93,-15.77,3094325,273613711.477
-47.67435,-15.60248,DF,Brasília,-47.93,-15.77,3094325,273613711.477
-47.43317,-16.04099,DF,Brasília,-47.93,-15.77,3094325,273613711.477
-47.60895,-15.90797,DF,Brasília,-47.93,-15.77,3094325,273613711.477
-47.37505,-15.70375,DF,Brasília,-47.93,-15.77,3094325,273613711.477
-47.55836,-16.01348,DF,Brasília,-47.93,-15.77,3094325,273613711.477
